gene	pLI
COPA	1.0000e+00
COL1A1	1.0000e+00
DHX15	1.0000e+00
DHX9	1.0000e+00
MAP2	1.0000e+00
ZMYM3	1.0000e+00
AGO2	1.0000e+00
ANK2	1.0000e+00
RALGAPB	1.0000e+00
IPO7	1.0000e+00
PRPF19	9.9995e-01
SCAF4	1.0000e+00
TBL1XR1	9.9995e-01
ZCCHC11	1.0000e+00
ZCCHC6	1.0000e+00
ANKRD11	1.0000e+00
PAFAH1B1	9.9995e-01
ZEB2	1.0000e+00
AP2A2	1.0000e+00
SMU1	9.9994e-01
NAA25	1.0000e+00
UBA1	1.0000e+00
BAZ1B	1.0000e+00
HNRNPH1	9.9993e-01
VPRBP	1.0000e+00
CTIF	9.9994e-01
ABCB7	9.9994e-01
UTP15	9.9993e-01
SETBP1	1.0000e+00
ARID5B	1.0000e+00
RBM10	1.0000e+00
TPR	1.0000e+00
RCOR1	9.9992e-01
SUFU	9.9992e-01
TRPS1	1.0000e+00
MTA1	1.0000e+00
RUVBL2	9.9992e-01
EIF4G3	1.0000e+00
MDM4	9.9992e-01
NTRK2	1.0000e+00
ANKHD1	1.0000e+00
ANKHD1-EIF4EBP3	1.0000e+00
RORB	9.9991e-01
TIAL1	9.9992e-01
NRXN3	1.0000e+00
PTPRD	1.0000e+00
WAPAL	1.0000e+00
RBM26	1.0000e+00
RIF1	1.0000e+00
NLK	9.9991e-01
PHIP	1.0000e+00
LPHN2	1.0000e+00
DPYSL5	9.9991e-01
USP8	1.0000e+00
TIPARP	9.9991e-01
ZBTB4	9.9991e-01
ISY1	9.9990e-01
HNRNPU	1.0000e+00
TLK2	1.0000e+00
TRERF1	1.0000e+00
DHX30	1.0000e+00
MYCBP2	1.0000e+00
FUBP1	1.0000e+00
TRIM24	1.0000e+00
ZC3H7A	1.0000e+00
UBXN7	9.9988e-01
SLC17A7	9.9988e-01
NOTCH2	1.0000e+00
SMARCC1	1.0000e+00
RAI1	1.0000e+00
CSE1L	1.0000e+00
EIF4A1	9.9987e-01
PIK3CA	1.0000e+00
KIF5C	1.0000e+00
REV3L	1.0000e+00
AGPS	1.0000e+00
ADAM10	1.0000e+00
MED1	1.0000e+00
SMARCC2	1.0000e+00
MYRF	1.0000e+00
DOT1L	1.0000e+00
CHAF1A	1.0000e+00
PSMD1	1.0000e+00
SRRM2	1.0000e+00
PIAS4	9.9986e-01
ACTR3	9.9986e-01
DDX3X	9.9986e-01
TSC1	1.0000e+00
SON	1.0000e+00
WHSC1	1.0000e+00
TCEB3	1.0000e+00
STAG1	1.0000e+00
ATRX	1.0000e+00
VCPIP1	1.0000e+00
EIF4A3	9.9985e-01
MAU2	1.0000e+00
PSMC2	9.9985e-01
DAZAP1	9.9985e-01
POGZ	1.0000e+00
PRKAR1A	9.9985e-01
SF3A3	1.0000e+00
FXR1	1.0000e+00
CDC42BPB	1.0000e+00
XPO7	1.0000e+00
RARB	9.9983e-01
RERE	1.0000e+00
ZMYND11	1.0000e+00
RPL4	9.9984e-01
SUPT16H	1.0000e+00
ZBTB47	9.9983e-01
PRRC2C	1.0000e+00
PPFIA3	1.0000e+00
ATP1A1	1.0000e+00
KIF11	1.0000e+00
NCOA2	1.0000e+00
HIPK1	1.0000e+00
KIAA0430	1.0000e+00
ARMCX4	1.0000e+00
KMT2C	1.0000e+00
PIK3AP1	1.0000e+00
SEMA4C	1.0000e+00
CYTH1	9.9981e-01
RBM17	9.9981e-01
RTF1	1.0000e+00
IPO5	1.0000e+00
NUP98	1.0000e+00
TRAF2	9.9979e-01
EIF4B	9.9999e-01
ADNP	1.0000e+00
RET	1.0000e+00
TEAD1	9.9980e-01
CCDC22	9.9979e-01
SHANK3	1.0000e+00
CACNA1E	1.0000e+00
PRMT5	9.9999e-01
JADE3	9.9978e-01
WDR5	9.9978e-01
CUL4A	9.9999e-01
PCLO	1.0000e+00
ZNF219	9.9977e-01
GAPVD1	1.0000e+00
EPC1	1.0000e+00
KCNB1	9.9977e-01
NLGN2	9.9974e-01
PCDH19	9.9975e-01
DDX17	9.9999e-01
RB1	1.0000e+00
WNK1	1.0000e+00
ZC3H18	1.0000e+00
CDK12	1.0000e+00
HECTD4	1.0000e+00
RALGPS1	9.9999e-01
TNRC6C	1.0000e+00
SCN2A	1.0000e+00
SOBP	9.9972e-01
VCP	9.9999e-01
TLN1	1.0000e+00
BTAF1	1.0000e+00
EPHA7	1.0000e+00
COL4A1	1.0000e+00
SIK3	1.0000e+00
KAT6B	1.0000e+00
KAT7	9.9999e-01
ZFR	1.0000e+00
GSE1	1.0000e+00
GSK3A	9.9970e-01
L1CAM	1.0000e+00
CTNNB1	9.9999e-01
PBRM1	1.0000e+00
PRICKLE1	9.9999e-01
PUM1	1.0000e+00
AHCTF1	1.0000e+00
TNPO2	1.0000e+00
AAK1	1.0000e+00
RASA1	1.0000e+00
CDC5L	1.0000e+00
FERMT2	9.9999e-01
WTAP	9.9966e-01
UBR3	1.0000e+00
SCN8A	1.0000e+00
FNIP2	1.0000e+00
MSN	9.9967e-01
PPP1R12A	1.0000e+00
RANBP9	9.9999e-01
USP47	1.0000e+00
CCDC88A	1.0000e+00
MLLT3	9.9964e-01
EIF3A	1.0000e+00
YTHDC2	1.0000e+00
KSR2	1.0000e+00
ZMYND8	1.0000e+00
CCNA2	9.9962e-01
PTPN6	9.9999e-01
SCML2	9.9961e-01
SNRK	9.9961e-01
MINK1	1.0000e+00
IRF6	9.9961e-01
ZRSR2	9.9963e-01
RFX7	1.0000e+00
CSTF2	9.9959e-01
NR4A2	9.9959e-01
TULP4	1.0000e+00
MAP1B	1.0000e+00
USP42	1.0000e+00
ZNF592	9.9998e-01
NPAS2	1.0000e+00
ZSWIM8	1.0000e+00
IQSEC2	9.9998e-01
U2AF2	9.9960e-01
ITPR1	1.0000e+00
COL2A1	1.0000e+00
NPLOC4	9.9998e-01
MAPKAPK2	9.9957e-01
DDX42	1.0000e+00
CACNA1A	1.0000e+00
SUZ12	9.9998e-01
PHF12	1.0000e+00
DACH1	9.9954e-01
PORCN	9.9953e-01
CTR9	1.0000e+00
RBM5	1.0000e+00
NRBP1	9.9998e-01
TBX5	9.9954e-01
FRMD4A	1.0000e+00
PTPN11	9.9998e-01
DLGAP3	9.9998e-01
HIRA	1.0000e+00
SETD1A	1.0000e+00
NAA35	1.0000e+00
ELMSAN1	1.0000e+00
CACTIN	9.9998e-01
ARHGEF6	9.9998e-01
FAM120C	9.9998e-01
RBM6	1.0000e+00
KIF1A	1.0000e+00
MECOM	1.0000e+00
MBD5	1.0000e+00
MEIS1	9.9951e-01
INTS6	1.0000e+00
ZFHX3	1.0000e+00
JPH4	9.9948e-01
SMARCA1	1.0000e+00
HEATR1	1.0000e+00
BAI3	1.0000e+00
SLC12A5	1.0000e+00
TAF3	9.9997e-01
SHOC2	9.9946e-01
PSMC1	9.9945e-01
RBM22	9.9947e-01
NFKB1	1.0000e+00
AFF4	1.0000e+00
RB1CC1	1.0000e+00
SAFB	1.0000e+00
TRAPPC8	1.0000e+00
ARID4A	1.0000e+00
TRIO	1.0000e+00
YTHDF2	9.9943e-01
PPFIA2	1.0000e+00
KDM6B	1.0000e+00
SPTB	1.0000e+00
SOS1	1.0000e+00
BAI1	1.0000e+00
AMBRA1	1.0000e+00
UBE2O	1.0000e+00
ZNF292	1.0000e+00
BCOR	1.0000e+00
HDAC5	1.0000e+00
PODXL2	9.9936e-01
AFTPH	9.9997e-01
RANBP3	9.9997e-01
SPAG9	1.0000e+00
FNBP4	1.0000e+00
AGPAT3	9.9933e-01
RANBP2	1.0000e+00
TKTL1	9.9933e-01
ZBTB44	9.9929e-01
WHSC1L1	1.0000e+00
CNOT4	9.9996e-01
JAG2	1.0000e+00
TFCP2L1	9.9996e-01
MAOA	9.9928e-01
SAMD4B	9.9996e-01
CSNK1E	9.9926e-01
DNMT1	1.0000e+00
PHEX	9.9996e-01
ATXN2L	1.0000e+00
XPO4	1.0000e+00
ARFGEF1	1.0000e+00
COPS5	9.9925e-01
SPOP	9.9922e-01
CSDE1	1.0000e+00
API5	9.9996e-01
CUL1	1.0000e+00
DDX46	1.0000e+00
ZFHX4	1.0000e+00
GNB1	9.9920e-01
HOMER1	9.9920e-01
ZFPM2	1.0000e+00
AEBP2	9.9921e-01
NUP85	1.0000e+00
CBLL1	9.9918e-01
RNF38	9.9995e-01
BAZ2A	1.0000e+00
JAG1	1.0000e+00
ASXL2	1.0000e+00
SP3	9.9995e-01
SRRM1	1.0000e+00
MAML1	9.9995e-01
CCNC	9.9914e-01
KIF23	1.0000e+00
EZH2	1.0000e+00
RFX4	9.9999e-01
XRCC5	9.9999e-01
USP24	1.0000e+00
CHD3	1.0000e+00
HNRNPA1	9.9911e-01
PPP1CB	9.9912e-01
FLT4	1.0000e+00
UNC79	1.0000e+00
ZNF217	9.9995e-01
EFHC2	9.9910e-01
WBP11	9.9994e-01
ITPKB	9.9994e-01
CTCF	9.9994e-01
ATP2B2	1.0000e+00
MAOB	9.9903e-01
KLHDC3	9.9908e-01
PRMT1	9.9907e-01
TGFB2	9.9905e-01
DIP2C	1.0000e+00
NFIX	9.9903e-01
FBXL17	9.9901e-01
WAS	9.9901e-01
GCM1	9.9900e-01
YBX2	9.9896e-01
TLE4	9.9999e-01
SLC6A1	9.9993e-01
EBF3	9.9993e-01
MAPK8IP3	1.0000e+00
AHSA1	9.9896e-01
PAN3	9.9999e-01
PKN2	1.0000e+00
ABCD1	9.9896e-01
SETD1B	1.0000e+00
CLCN4	9.9893e-01
ARHGEF9	9.9890e-01
B4GALT5	9.9889e-01
MSL1	9.9890e-01
SERPINC1	9.9892e-01
KALRN	1.0000e+00
CASZ1	1.0000e+00
MARCH6	1.0000e+00
SFPQ	9.9992e-01
BCORL1	9.9999e-01
CMIP	9.9999e-01
PPRC1	1.0000e+00
DDX26B	9.9992e-01
C11orf30	1.0000e+00
EFEMP1	9.9992e-01
MAPKAP1	9.9991e-01
ATP1B1	9.9881e-01
ELFN1	9.9882e-01
SMCHD1	1.0000e+00
FBXW2	9.9877e-01
GGA1	9.9992e-01
CAMSAP3	1.0000e+00
AHR	9.9999e-01
DMD	1.0000e+00
PPP1R10	1.0000e+00
HDLBP	1.0000e+00
ZNF609	1.0000e+00
ARHGAP42	1.0000e+00
OCRL	9.9999e-01
RICTOR	1.0000e+00
ZNF541	1.0000e+00
FASN	1.0000e+00
ATAD2B	1.0000e+00
PCIF1	9.9999e-01
DENND5B	1.0000e+00
HOOK3	1.0000e+00
ARHGEF2	1.0000e+00
XPR1	9.9999e-01
INTS10	9.9999e-01
USP3	9.9989e-01
MARK2	9.9999e-01
IKZF1	9.9860e-01
CDH11	9.9990e-01
KDM4A	1.0000e+00
RREB1	1.0000e+00
CHD4	1.0000e+00
HIPK2	1.0000e+00
NR2E1	9.9864e-01
KPNA4	9.9989e-01
CHD5	1.0000e+00
PLXND1	1.0000e+00
RXRA	9.9852e-01
LRRC7	1.0000e+00
ZFC3H1	1.0000e+00
UBE4B	1.0000e+00
DOCK3	1.0000e+00
DMXL2	1.0000e+00
PELP1	9.9998e-01
TXLNG	9.9845e-01
UNC13A	1.0000e+00
MAT2A	9.9846e-01
HECTD1	1.0000e+00
KCNQ2	9.9998e-01
TANC2	1.0000e+00
PPP3CA	9.9988e-01
LARP4B	9.9998e-01
EPC2	9.9998e-01
ROBO2	1.0000e+00
MAST1	1.0000e+00
POLR2A	1.0000e+00
GRIPAP1	9.9998e-01
PSMD11	9.9987e-01
TNRC6A	1.0000e+00
ESPL1	1.0000e+00
CUL5	1.0000e+00
FBRS	9.9987e-01
SAP130	1.0000e+00
ALG13	9.9998e-01
SMAD5	9.9838e-01
GNB2L1	9.9836e-01
SLIT2	1.0000e+00
PPM1A	9.9834e-01
PPP4R2	9.9835e-01
GSPT1	9.9986e-01
PIP4K2B	9.9837e-01
ZFX	9.9831e-01
KANSL3	9.9998e-01
RORC	9.9985e-01
ZNF800	9.9985e-01
DPF2	9.9985e-01
APC	1.0000e+00
FKBP8	9.9825e-01
OPHN1	9.9985e-01
USP48	1.0000e+00
KDM6A	1.0000e+00
CAPZA2	9.9828e-01
NPM1	9.9816e-01
PSMD12	9.9984e-01
ZNF131	9.9983e-01
GPC3	9.9820e-01
GRAMD4	9.9998e-01
KIF2A	9.9998e-01
FGD5	1.0000e+00
CKAP5	1.0000e+00
UPF1	1.0000e+00
UTP14A	9.9983e-01
CHD1	1.0000e+00
ZBTB2	9.9820e-01
CPSF6	9.9982e-01
FAM120A	1.0000e+00
WDR43	9.9997e-01
CUX1	1.0000e+00
ZNF865	9.9814e-01
MAPK8IP1	9.9983e-01
CDK19	9.9982e-01
NFKB2	1.0000e+00
KDM5A	1.0000e+00
TEX10	1.0000e+00
KIAA0947	1.0000e+00
MDM2	9.9981e-01
CASKIN1	1.0000e+00
MYC	9.9801e-01
CLK2	9.9997e-01
PAX5	9.9798e-01
ZNF608	9.9999e-01
DSCAML1	1.0000e+00
CCNJ	9.9796e-01
CCNK	9.9980e-01
TLK1	9.9999e-01
LARP1	1.0000e+00
ARIH1	9.9997e-01
LRRC4	9.9787e-01
RBFOX3	9.9785e-01
ZNF629	9.9978e-01
KDM5C	1.0000e+00
PHF6	9.9784e-01
DICER1	1.0000e+00
GRIN2D	9.9996e-01
RPL5	9.9776e-01
PHF23	9.9774e-01
SIPA1L1	1.0000e+00
MYH10	1.0000e+00
GABBR2	9.9999e-01
CECR2	1.0000e+00
F9	9.9776e-01
PAK7	9.9977e-01
USP11	9.9996e-01
PPP1R9B	9.9975e-01
SFSWAP	9.9999e-01
HNF1B	9.9976e-01
NOP2	9.9996e-01
TMEM63B	9.9999e-01
STAU1	9.9976e-01
ARPC2	9.9769e-01
CSK	9.9977e-01
SOX9	9.9772e-01
NCOR2	1.0000e+00
ANK1	1.0000e+00
ZNF236	1.0000e+00
ABCA2	1.0000e+00
PPP1R16B	9.9974e-01
RC3H2	1.0000e+00
PAX6	9.9975e-01
CENPI	9.9974e-01
ZNF638	1.0000e+00
NACC1	9.9763e-01
PDGFRA	1.0000e+00
CADM4	9.9762e-01
ACVR2A	9.9972e-01
TRIM9	9.9973e-01
DYRK2	9.9751e-01
TRPC5	9.9973e-01
C7orf60	9.9746e-01
MKL2	9.9999e-01
GPATCH8	1.0000e+00
ESCO1	9.9995e-01
GRID2	1.0000e+00
WEE1	9.9973e-01
MBTPS2	9.9752e-01
PRPF4B	1.0000e+00
ZNF654	9.9753e-01
CHD9	1.0000e+00
KIF1B	1.0000e+00
RNF2	9.9743e-01
DAGLA	9.9999e-01
MNT	9.9739e-01
PRKCD	9.9995e-01
KDM4B	1.0000e+00
CELF1	9.9971e-01
ANKRD28	1.0000e+00
MEN1	9.9971e-01
SYVN1	9.9970e-01
FZR1	9.9969e-01
ZFP91	9.9970e-01
ARMC8	9.9999e-01
CAMTA1	1.0000e+00
LIN54	9.9994e-01
TRIM71	9.9969e-01
NKAP	9.9735e-01
TFAP4	9.9731e-01
ACVR1B	9.9969e-01
PSMD4	9.9726e-01
FBLN5	9.9970e-01
EEF2	9.9995e-01
ISY1-RAB43	9.9970e-01
CFLAR	9.9967e-01
OTUD5	9.9717e-01
HIVEP1	1.0000e+00
GTF3C1	1.0000e+00
ENAH	9.9994e-01
FOXO1	9.9725e-01
TNRC6B	1.0000e+00
EEF1G	9.9967e-01
TENM4	1.0000e+00
KLF4	9.9714e-01
SEC24C	1.0000e+00
CTDSPL2	9.9966e-01
JADE2	9.9994e-01
PCGF1	9.9713e-01
TTC28	1.0000e+00
GATA6	9.9709e-01
SCN3A	1.0000e+00
PSME3	9.9714e-01
TET1	1.0000e+00
NUP153	1.0000e+00
CELF2	9.9965e-01
DDX6	9.9964e-01
BAG6	1.0000e+00
EPHA4	1.0000e+00
MKLN1	9.9998e-01
ZMYM4	1.0000e+00
PPP2R5D	9.9993e-01
ANAPC2	9.9993e-01
FOXP1	9.9998e-01
TDRD1	1.0000e+00
MAP4K4	1.0000e+00
MAPK1	9.9698e-01
NCDN	9.9964e-01
BSN	1.0000e+00
ADRM1	9.9704e-01
NCOR1	1.0000e+00
CNOT7	9.9686e-01
MTM1	9.9961e-01
BAZ1A	1.0000e+00
ABL1	9.9998e-01
JAKMIP2	1.0000e+00
ZNF516	9.9992e-01
PTBP1	9.9961e-01
CLASP1	1.0000e+00
HTT	1.0000e+00
RELN	1.0000e+00
BRPF1	1.0000e+00
R3HDM2	1.0000e+00
MYO9B	1.0000e+00
PHF2	1.0000e+00
PAPOLA	9.9998e-01
ZZZ3	9.9998e-01
EIF4ENIF1	9.9999e-01
PSME4	1.0000e+00
NCL	9.9992e-01
GLA	9.9675e-01
GPHN	9.9998e-01
BRPF3	9.9998e-01
MSL3	9.9665e-01
PRPF8	1.0000e+00
KDM2B	1.0000e+00
AKT3	9.9958e-01
HIC2	9.9668e-01
PNISR	9.9998e-01
DPP10	9.9999e-01
MGAT5	9.9998e-01
NKRF	9.9661e-01
ADRBK1	9.9998e-01
ZER1	9.9992e-01
EXOC5	9.9991e-01
SF3B3	1.0000e+00
SYMPK	1.0000e+00
SPPL3	9.9656e-01
PKD1	1.0000e+00
TEK	1.0000e+00
G3BP2	9.9954e-01
ZBTB18	9.9658e-01
PTPN2	9.9953e-01
ARHGEF12	1.0000e+00
LAS1L	9.9955e-01
PLK2	9.9990e-01
PITPNM2	1.0000e+00
IDS	9.9640e-01
DST	1.0000e+00
DNM2	9.9998e-01
PDS5B	1.0000e+00
PTPRT	1.0000e+00
RPL7	9.9626e-01
TOX3	9.9950e-01
CENPB	9.9634e-01
SERBP1	9.9950e-01
ZRANB2	9.9949e-01
HCN1	9.9989e-01
RELA	9.9948e-01
COPS3	9.9949e-01
TFDP2	9.9950e-01
WDR7	1.0000e+00
TNIK	1.0000e+00
ZDHHC17	9.9989e-01
NOL6	1.0000e+00
NOVA1	9.9621e-01
LMTK3	9.9997e-01
ATP5A1	9.9945e-01
SLC7A3	9.9614e-01
MLLT10	1.0000e+00
MLLT6	9.9997e-01
RP11-152F13.10	9.9610e-01
ATP2C1	1.0000e+00
RNF8	9.9943e-01
SET	9.9597e-01
UBE3C	1.0000e+00
SYCP2	1.0000e+00
CIC	9.9999e-01
ACAN	1.0000e+00
SF1	9.9943e-01
EPHB2	9.9997e-01
CSNK2A2	9.9940e-01
FAT4	1.0000e+00
NAP1L1	9.9941e-01
MED12L	1.0000e+00
ALAS2	9.9586e-01
CEP350	1.0000e+00
DDX21	9.9997e-01
MEIS2	9.9938e-01
MTF2	9.9987e-01
MAP3K4	1.0000e+00
SHANK1	1.0000e+00
KLHL2	9.9985e-01
MTOR	1.0000e+00
PACS1	9.9999e-01
GLUL	9.9570e-01
NAV3	1.0000e+00
NCAM1	9.9999e-01
SARNP	9.9574e-01
WWC3	9.9996e-01
LRRC41	9.9986e-01
CTNND1	9.9999e-01
LPHN3	1.0000e+00
CNKSR2	9.9996e-01
FXR2	9.9996e-01
SYK	9.9986e-01
PTPN12	9.9996e-01
PAPD7	9.9934e-01
PARP6	9.9996e-01
EEF1A2	9.9558e-01
HNRNPUL1	9.9999e-01
ZC3H11A	9.9996e-01
PRRC2A	1.0000e+00
XKR6	9.9934e-01
ARID4B	1.0000e+00
EIF3D	9.9983e-01
NDST1	9.9995e-01
PTPRF	1.0000e+00
LPHN1	1.0000e+00
ARHGEF7	9.9995e-01
GPKOW	9.9553e-01
EED	9.9929e-01
ZNF423	9.9996e-01
CUX2	1.0000e+00
NFATC2	9.9995e-01
STAT1	9.9999e-01
TMEM108	9.9555e-01
DIDO1	1.0000e+00
PHF20L1	1.0000e+00
PRDM16	9.9999e-01
DLL4	9.9982e-01
SEPT7	9.9924e-01
CDC73	9.9995e-01
JARID2	9.9999e-01
SNRNP70	9.9926e-01
PRRC2B	1.0000e+00
SOX5	9.9995e-01
GRIN2A	9.9998e-01
PLAG1	9.9532e-01
ASAP1	1.0000e+00
CCT5	9.9928e-01
CNOT2	9.9981e-01
ELAVL2	9.9514e-01
SUGP2	9.9995e-01
RSPRY1	9.9981e-01
USP37	9.9999e-01
NRF1	9.9922e-01
NFKBIZ	9.9981e-01
RBBP5	9.9981e-01
DSCAM	1.0000e+00
TTC7B	9.9998e-01
PRKD2	9.9995e-01
PAXBP1	9.9999e-01
UNK	9.9994e-01
KIAA2018	1.0000e+00
AP2M1	9.9919e-01
NOS1	1.0000e+00
CBX2	9.9503e-01
PPARD	9.9497e-01
YAP1	9.9918e-01
ESR1	9.9920e-01
THRAP3	9.9998e-01
UBE2Q1	9.9919e-01
RNF31	1.0000e+00
NYAP1	9.9917e-01
SCARF2	9.9980e-01
C20orf112	9.9496e-01
DOCK9	1.0000e+00
COL4A5	1.0000e+00
NR2F1	9.9482e-01
WNK3	9.9999e-01
DKC1	9.9916e-01
SENP5	9.9978e-01
LGI1	9.9914e-01
BMPR2	9.9998e-01
SMARCE1	9.9915e-01
FURIN	9.9994e-01
SPTBN4	1.0000e+00
RPL7A	9.9485e-01
TENM2	1.0000e+00
ASIC2	9.9912e-01
ACTR3B	9.9911e-01
ARHGAP31	9.9999e-01
SNX27	9.9977e-01
AJAP1	9.9469e-01
PTPRA	9.9998e-01
GRIK3	9.9998e-01
MAP1A	1.0000e+00
CEP170	1.0000e+00
GDI1	9.9471e-01
XKR4	9.9912e-01
HPN	9.9911e-01
TNS3	1.0000e+00
MTPAP	9.9904e-01
VDAC3	9.9454e-01
SNAP91	9.9993e-01
EBF2	9.9976e-01
TAF5L	9.9904e-01
ZBTB16	9.9907e-01
AGO3	9.9997e-01
